,mean,std,min,q1,median,q3,max,iqr,skew,kurtosis,label
6343,1276.861111111111,1746.194980870151,0.0,0.0,275.0,2210.5,14601.0,2210.5,1.707182087243796,3.7173290510550054,pulsar
6344,1261.3338888888889,1746.4549180034835,0.0,0.0,248.0,2167.0,14601.0,2167.0,1.7258596226674796,3.771860805594937,pulsar
6345,1238.4094444444445,1741.3841818935612,0.0,0.0,215.0,2133.25,14601.0,2133.25,1.7517098601692591,3.8750699254309064,pulsar
6346,1221.1933333333334,1739.0312958924533,0.0,0.0,199.0,2116.75,14601.0,2116.75,1.7761747011248872,3.9700312764928447,pulsar
6347,1199.6472222222221,1728.0318761770566,0.0,0.0,185.0,2092.25,14601.0,2092.25,1.7951409612462355,4.077611942654244,pulsar
6348,1176.8894444444445,1719.6510257494115,0.0,0.0,171.5,2043.25,14601.0,2043.25,1.8309118368361845,4.253185390927255,pulsar
6349,1156.0938888888888,1714.2503401003198,0.0,0.0,161.5,2005.75,14601.0,2005.75,1.8667696669874312,4.411511210291627,pulsar
6350,1140.1072222222222,1712.5024793246941,0.0,0.0,141.0,1972.0,14601.0,1972.0,1.88978258033607,4.500910335441581,pulsar
6351,930.1255555555556,1574.2664567808133,0.0,0.0,113.5,1242.75,10589.0,1242.75,2.220855121590917,5.4616834746241505,pulsar
6352,953.6927777777778,1587.6020732624718,0.0,0.0,122.5,1304.5,10589.0,1304.5,2.1706084260789096,5.1715206291949745,pulsar
6353,965.5405555555556,1590.289493511693,0.0,0.0,132.0,1335.25,10589.0,1335.25,2.1483018587537335,5.068165786483284,pulsar
6354,977.1861111111111,1590.223093387899,0.0,0.0,139.0,1405.75,10589.0,1405.75,2.1311742969061007,5.008222181584037,pulsar
6355,992.2422222222223,1593.34863246764,0.0,0.0,151.0,1462.25,10589.0,1462.25,2.1038346204592204,4.886128514133889,pulsar
6356,1011.905,1607.5358531121892,0.0,0.0,157.0,1506.0,10589.0,1506.0,2.0802296857870144,4.738756664100222,pulsar
6357,1015.2044444444444,1608.424749896018,0.0,0.0,157.0,1512.5,10589.0,1512.5,2.074827724688629,4.714148132378826,pulsar
6358,1018.89,1606.0784054585463,0.0,0.0,159.5,1547.0,10589.0,1547.0,2.0682482600474215,4.713716452500073,pulsar
6359,1020.5038888888889,1607.888153982058,0.0,0.0,157.5,1553.5,10589.0,1553.5,2.065000054837477,4.690650407433074,pulsar
6360,1022.2766666666666,1607.3121685021265,0.0,0.0,157.0,1558.75,10589.0,1558.75,2.0626567170997925,4.689725725007529,pulsar
6361,1019.6422222222222,1601.394958466613,0.0,0.0,156.0,1553.5,10589.0,1553.5,2.0532714752231422,4.6480208408946275,pulsar
6362,1013.325,1588.6402579886958,0.0,0.0,156.0,1547.0,10589.0,1547.0,2.046374798419542,4.664508236040472,pulsar
6363,1015.6711111111111,1587.3453248318654,0.0,0.0,158.5,1558.75,10589.0,1558.75,2.0461827689892274,4.678911953917845,pulsar
6364,1030.6933333333334,1601.7475126689912,0.0,0.0,164.5,1592.5,10589.0,1592.5,2.0267353495258833,4.55188695755357,pulsar
6365,1033.0555555555557,1605.6450989189025,0.0,0.0,163.5,1602.0,10589.0,1602.0,2.0303979215823875,4.565548605387603,pulsar
6366,1041.6161111111112,1611.29771268925,0.0,0.0,168.0,1622.0,10589.0,1622.0,2.0145742877140433,4.475297287088116,pulsar
6367,1028.3,1588.3813009821088,0.0,0.0,165.5,1598.25,10589.0,1598.25,1.9937455826791557,4.281061783305722,pulsar
6368,1021.5933333333334,1583.9923870822834,0.0,0.0,159.5,1585.0,10589.0,1585.0,2.0050246021087657,4.339336901415571,pulsar
6369,1027.4416666666666,1594.6083339410538,0.0,0.0,161.0,1585.0,10589.0,1585.0,2.0050361045799145,4.321204225668614,pulsar
6370,1039.97,1601.8550131823308,0.0,0.0,165.0,1622.0,10589.0,1622.0,1.9750393492141651,4.1714265120849845,pulsar
6371,1049.8155555555556,1615.2036867965817,0.0,0.0,165.0,1636.5,10589.0,1636.5,1.9714606303045603,4.14252680010296,pulsar
6372,1056.1983333333333,1613.583753761484,0.0,0.0,168.0,1668.75,10589.0,1668.75,1.9431853253347142,4.018060838558421,pulsar
6373,1046.2472222222223,1607.7403462982218,0.0,0.0,165.0,1632.0,10589.0,1632.0,1.9535424313489216,4.048994614580057,pulsar
6374,1055.2233333333334,1618.4226872370662,0.0,0.0,168.0,1647.75,10589.0,1647.75,1.9424809368122817,3.968922536907263,pulsar
6375,1046.253888888889,1617.2113707089072,0.0,0.0,160.0,1623.25,10589.0,1623.25,1.9575964266870525,4.025834235326373,pulsar
6376,1046.1566666666668,1613.5613909372996,0.0,0.0,165.0,1629.0,10589.0,1629.0,1.9628734326126474,4.0708139854230545,pulsar
6377,1042.4544444444443,1601.1410797410283,0.0,0.0,171.0,1623.25,10589.0,1623.25,1.965352164510575,4.133352344463283,pulsar
